Text,Author,Tags
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,Tags: love poetry
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,Tags: happiness
"“If you judge people, you have no time to love them.”",Mother Teresa,Tags: attributed-no-source
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,Tags: humor religion
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,Tags: humor
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,Tags: comedy life yourself
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,Tags: children fairy-tales
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,Tags: imagination
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,Tags: music
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,Tags: learning reading seuss
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,Tags: dumbledore
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,Tags: friendship
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,Tags: misattributed-to-mother-teresa paraphrased
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,Tags: death inspirational
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,Tags: chocolate food humor
“We read to know we're not alone.”,William Nicholson,Tags: misattributed-to-c-s-lewis reading
“Any fool can know. The point is to understand.”,Albert Einstein,Tags: knowledge learning understanding wisdom
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,Tags: books library
“It is never too late to be what you might have been.”,George Eliot,Tags: inspirational
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,Tags: read readers reading reading-books
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,Tags: books inspirational reading tea
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,Tags: girls love
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,Tags: life simile
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,Tags: love
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,Tags: attributed-no-source
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,Tags: hope inspirational
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,Tags: dumbledore
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,Tags: love
